lambda_slow,p_fast
0.349826484,0.306984432
0.242101685,0.273122465
0.180665629,0.186877205
0.390272554,0.227197898
0.388626411,0.357933264
0.235587876,0.247672186
0.338814305,0.323192353
0.365897389,0.272118448
0.436006279,0.260761336
0.118857032,0.286294388
0.39691192,0.2164806
0.1340106,0.280809054
0.09644772,0.357335442
0.184846566,0.280170792
0.432826925,0.216746302
0.299460475,0.201211993
0.275677081,0.25355347
0.327402688,0.292907093
0.393472782,0.189535518
0.32326746,0.255857106
0.57567394,0.252885104
0.215639147,0.274193386
0.656066611,0.244883974
0.286746285,0.257385227
0.481479757,0.272767795
0.737862385,0.288961429
0.236389601,0.253721819
0.287995494,0.252028795
0.349317521,0.23194831
0.906353019,0.307026677
1.266351155,0.255879814
0.138404565,0.292312166
0.687654683,0.254373247
0.318592764,0.276856312
0.386070434,0.171322048
0.0519879,0.237958588
0.31781675,0.333613702
0.740317562,0.336160396
0.405567499,0.213599752
0.452137434,0.302677092
0.226023547,0.206112298
0.598725033,0.272412177
1.064075151,0.232628934
0.482730588,0.345459174
0.311931788,0.319615493
0.784387671,0.201877185
0.178672248,0.26057634
0.188394575,0.220786663
0.796725873,0.284537159
0.183937517,0.287216794
0.177323461,0.291235787
0.102240988,0.314275998
1.016241306,0.34996734
0.084356322,0.352795596
0.595280816,0.287687126
0.059115886,0.26199207
0.489970167,0.255027291
0.563451398,0.303592523
0.884932144,0.250327183
0.578327634,0.297296121
0.450085975,0.297082223
0.621093816,0.204897794
0.244382106,0.309333923
0.473898034,0.191455018
0.539596381,0.223243429
0.154156945,0.301724968
0.437317026,0.206297508
0.551666657,0.29185629
0.552098694,0.269258012
1.339503303,0.229145478
1.663667981,0.282622006
0.215618787,0.334110287
0.473976877,0.155596209
0.335062748,0.213955884
0.518772402,0.279287686
0.828159313,0.226226735
0.553904942,0.317613223
0.304573474,0.368035361
0.581488672,0.257008737
0.723794431,0.22111217
1.271405051,0.195656629
0.186890517,0.263397923
0.257145659,0.272397706
0.402240214,0.239114425
1.256712845,0.258898188
0.780248355,0.205184149
0.373710532,0.23257072
0.186363001,0.235810101
0.559577392,0.249941127
0.142297404,0.204719366
0.45091689,0.256840077
0.677514898,0.220844873
0.633241964,0.23509005
1.697013684,0.260239554
0.180917446,0.247730904
0.433222514,0.242646562
0.035764651,0.258209602
0.53892785,0.268487368
0.434181647,0.293340947
0.356879395,0.246267573
0.824084289,0.205785551
0.655751296,0.302494434
0.254061527,0.2287471
0.503247158,0.306457019
0.27132942,0.28718297
0.624062422,0.301820647
0.464830233,0.248779235
0.100462669,0.30806468
0.509176491,0.313040428
0.476034673,0.235624912
0.082761453,0.356012571
0.236864335,0.289162989
0.634968616,0.308857364
1.222433481,0.162346829
0.297906351,0.272714222
0.538821044,0.240425889
0.961941059,0.27409043
0.140801309,0.274110143
0.227727594,0.265039543
0.19133319,0.22731515
1.029805894,0.246050555
0.696725792,0.304287441
0.335729455,0.303481481
0.315420905,0.363956454
0.23409302,0.220061962
0.269976356,0.245479781
0.556578268,0.229155019
0.172674473,0.295724389
0.147892702,0.223371538
0.212125416,0.364515548
0.276667866,0.195783117
0.730231439,0.22524626
0.523884551,0.247024998
0.300147114,0.264639522
0.479671226,0.288162668
0.159524123,0.265070027
0.923175687,0.256505956
0.286039691,0.284839836
0.52543298,0.188275638
1.157999073,0.284750375
2.137811092,0.182135868
0.831333155,0.188680044
0.084109202,0.325989183
0.951187712,0.234411771
0.326814057,0.291043054
0.153848478,0.239809825
0.365018063,0.251956248
0.321949741,0.210479996
0.420282767,0.219626477
0.189141498,0.260251352
0.426928495,0.301124846
1.3554183,0.232278056
0.355249293,0.199580006
1.432830675,0.1829505
0.540594267,0.246278636
0.709378833,0.270242133
0.442226295,0.268058356
0.396257633,0.304411858
0.305666863,0.212391534
0.080348367,0.266166835
0.97916999,0.286227873
0.037822905,0.300015312
0.39075878,0.217381437
0.366419149,0.308877382
0.383139752,0.26149255
0.844536404,0.273911743
1.004914747,0.164467134
0.797527334,0.296865254
1.158350871,0.20505725
0.542139849,0.249681973
0.47242025,0.265505417
0.368025105,0.252068609
0.180934138,0.298841362
0.211346061,0.229309159
0.834999733,0.166092898
0.545995163,0.204649418
0.7342058,0.220258667
1.306214962,0.232726137
0.234762821,0.320791707
0.202134565,0.219301578
0.155843997,0.282886817
0.182155954,0.39456299
0.246978887,0.23509662
0.470249519,0.237643659
0.35759483,0.178249158
1.098772893,0.186960286
0.349464914,0.267157483
0.737323205,0.296296218
0.092657926,0.357268415
0.179446063,0.332410596
0.405362221,0.278933914
0.374991104,0.297213558
0.779424804,0.218694391
0.373716801,0.294246956
0.298233684,0.26503586
0.827627724,0.279689698
0.150773603,0.300561521
0.759648769,0.225053199
0.203990395,0.277442654
0.814742355,0.246160766
0.259448287,0.174710051
0.864220847,0.199695577
1.185870848,0.262288234
0.391410758,0.227561837
0.353969022,0.234397753
0.463131615,0.312738948
0.738839299,0.248649636
0.932882041,0.328065613
0.579683042,0.286960767
0.57607246,0.227528047
0.619479929,0.224225491
1.118655789,0.170108828
0.416906471,0.217889011
0.404235147,0.334840504
0.685208767,0.290322335
0.321587943,0.246651945
0.292670528,0.216839715
0.148061469,0.272189845
0.536021809,0.208291846
0.104438249,0.277299157
0.798095163,0.186563647
0.359214125,0.235115414
1.162187459,0.250060737
0.357731242,0.231167036
1.173128964,0.297153354
0.393770079,0.136533527
0.158131634,0.262901963
0.312112343,0.274617508
0.479393829,0.242909392
0.22776759,0.241919943
