lambda_slow,p_fast
0.738743283,0.225720111
0.829734246,0.216101806
0.723734683,0.182059661
0.788517981,0.172065385
0.704745859,0.188521723
0.790096364,0.209599702
0.752759512,0.16263991
0.776418834,0.220079596
0.681123688,0.222947848
0.748569983,0.21037383
0.765087689,0.170448851
0.834614365,0.246024099
0.739128001,0.196961797
0.69354953,0.181329563
0.562657643,0.256082938
0.819857087,0.20294837
0.725151002,0.19302252
0.737956995,0.248651157
0.797786095,0.193825689
0.717390884,0.209142133
0.671906011,0.209312795
0.75338678,0.235939667
0.794321839,0.237702129
0.789246951,0.166798484
0.688097123,0.211246261
0.889897,0.201799238
0.681924188,0.209596492
0.72205595,0.156433376
0.689914369,0.206576891
0.756041352,0.169579749
0.693206557,0.190353302
0.744730585,0.218176184
0.813750555,0.210644767
0.650423719,0.227925143
0.790373555,0.195501542
0.665093281,0.21424
0.69012818,0.187484075
0.702964955,0.261397992
0.76850365,0.187637007
0.723129362,0.187668099
0.767135257,0.141305683
0.616952709,0.171141669
0.84231945,0.215253959
0.718628223,0.210071145
0.711478912,0.23583065
0.706073948,0.17007665
0.699575736,0.193690124
0.731074562,0.247832302
0.797400482,0.196969007
0.723712314,0.205349825
0.634155717,0.218529596
0.807331442,0.168552679
0.905633988,0.174767625
0.727826405,0.18572776
0.775381245,0.204467295
0.715752424,0.263495444
0.644161635,0.221049285
0.659254253,0.265806431
0.754274578,0.198425086
0.738898241,0.18303624
0.708281449,0.187880175
0.777954363,0.18381171
0.730234789,0.259172086
0.727358481,0.196897015
0.671859667,0.18335257
0.598157603,0.243567773
0.797566675,0.168794902
0.827367746,0.190004228
0.763883312,0.197975518
0.72648306,0.218349326
0.618454383,0.193939262
0.638553922,0.202034966
0.744054324,0.232037306
0.743886132,0.184782652
0.71844488,0.229227111
0.78957044,0.199534231
0.66103919,0.222804038
0.655146598,0.245313894
0.665964997,0.190377942
0.762930707,0.188289529
0.66241074,0.220916069
0.802817596,0.186789694
0.743043008,0.187154517
0.682694512,0.233792595
0.805708594,0.161957656
0.666652064,0.192483477
0.794828951,0.202068814
0.663407292,0.263586385
0.705469381,0.232655859
0.622829041,0.20569248
0.790022967,0.17841597
0.695437393,0.193408465
0.595789178,0.219447769
0.667819066,0.164484755
0.653129008,0.198121744
0.754911661,0.247511607
0.800766262,0.214713474
0.701075015,0.220141744
0.652433854,0.205143851
0.690975297,0.168152321
0.765714362,0.217665374
0.686313386,0.205190665
0.778288749,0.232666562
0.619354504,0.214634738
